Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Cherryville city,71,Gaston,3712340,6018,1090.1,5.52,281,1200,3264,382,2882,1099,118,981,69,0.44,0.03,1.56,1.59,,,,,,,,,,,,,,,
Chimney Rock Village village,161,Rutherford,3712460,174,51.8,3.36,0,24,91,15,76,59,2,57,64,0.14,0.74,2.1,2.84,,,,,,,,,,,,,,,
China Grove town,159,Rowan,3712480,4225,1182.1,3.57,225,455,2776,621,2155,741,18,723,68,0.58,0.24,3,3.23,,,,,,,,,,,,,,,
Chinquapin CDP,61,Duplin,3712520,9,6.5,1.39,4,0,5,5,0,0,0,0,,0.74,0,51,51,1,Flood mitigation Currie/Duplin street,"The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
",Town of Wallace,Local Government,Infrastructure,2/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Wallace
Chocowinity town,13,Beaufort,3712580,1331,1321.5,1.01,110,291,718,168,550,199,79,120,56,0.79,0.53,0.74,1.27,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,225000,225000,Aurora
Chowan Beach CDP,41,Chowan,3712590,360,2273.1,0.16,15,0,264,133,131,81,14,67,,0.45,0.13,19.47,19.6,5,Edenton Old Hertford Hazard Mitigation Project 2022,"The eastern portion of Edenton is subject to stormwater flooding due to the limited capacity of downstream culverts that extend under Old Hertford Road. Golden LEAF flood mitigation grant funds will be used to replace an existing pipe under Old Hertford Road with a box culvert design and replace existing piping downstream of Old Hertford Road with two larger lines. Improving the transport of stormwater runoff from this area will also allow the town to focus on upstream improvements previously limited by this downstream bottleneck. There are households, businesses and residential care homes for adults with special needs in the immediate project area. Due to the bottleneck in this area, areas upstream feel impacts from flooding as well.",Town of Edenton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,249300,249300,Edenton
Claremont city,35,Catawba,3712720,1924,675.4,2.85,6,507,1075,86,989,323,46,277,71,0.52,2,3.37,5.36,,,,,,,,,,,,,,,
Clarkton town,17,Bladen,3712780,972,780.3,1.25,215,137,471,191,280,144,21,123,46,0.87,0,0.31,0.31,7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.",Town of Elizabethtown,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,132000,132000,Elizabethtown
Clayton town,101,Johnston,3712860,23179,1520.6,15.24,648,4895,14675,1172,13503,2842,275,2567,,0.46,1.09,6.63,7.72,23,Selma Flood Mitigation modeling,"The Town of Selma experiences flooding during heavy non-named rain events in the northeast quadrant of town. The town is separated in four quadrants that are separated by railroads crossing through the center of town. Each quadrant has its own individual internal drainage creating a bowl type system. Golden LEAF flood mitigation grant funds will be used to develop a stormwater master plan for the Town of Selma in the northeastern quadrant. Components of this project include field data collection, modeling of existing watersheds, development of concept plans and alternatives, and a summary report. Within this quadrant there are households, businesses, other public and private facilities, and healthcare facilities that will benefit from this project. Additionally, the Town Hall, the Selma Fire Department, and the historic Rudy Theater are located in this area. The roads around the fire and EMS stations become impassable. Access to US highway 301 also becomes restricted during flood events. ",Town of Selma,Local Government,Planning,7/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,137500,137500,Selma
Clemmons village,67,Forsyth,3712960,20574,1730.5,11.89,271,4620,11678,495,11183,3866,189,3677,85,0.3,0.5,8.43,8.93,18,Thomas Drake Ct Project,"The Town of Kernersville discovered a sizable hole and longitudinal fractures during inspection of the culvert crossing on Thomas Drake Court. Failure of the culvert would lead to the development of a sinkhole, loss of the road, area flooding and potential property damage for residents. Loss of the road would also prevent access for emergency services. An existing sewer line could also be undermined causing failure resulting in loss of services as well as wastewater entering the channel. Golden LEAF flood mitigation grant funds will be used to replace the existing damaged culvert. The project will include removal of the failing corrugated metal pipe and replace it with reinforced concrete pipe (RCP). The culvert will be extended upstream of the crossing. The extension will provide protection to the adjacent sewer line. Downstream of the culvert crossing, two driveway culvert crossings will be abandoned in place and the new RCP installed with tie-in to the proposed headwall. Stream realignment and stabilization grading both upstream and downstream will better direct flow and prevent further erosion. Households located in the immediate project area in the section of Thomas Drake Court from the culvert crossing northward to the cul-de-sac will directly benefit from this project.",Town of Kernersville,Local Government,Infrastructure,5/20/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Kernersville
Cleveland town,159,Rowan,3713000,1147,747.3,1.53,137,157,660,86,574,193,15,178,7,0.49,0,0.71,0.71,,,,,,,,,,,,,,,
Cliffside CDP,161,Rutherford,3713100,707,303.8,2.33,0,43,601,0,601,63,0,63,,0.73,0,8.06,8.06,,,,,,,,,,,,,,,
Clinton city,163,Sampson,3713240,8480,1111.4,7.63,889,1017,4112,945,3167,1780,277,1503,76,0.94,0,6.02,6.02,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Clinton
Clyde town,87,Haywood,3713280,1483,1709.1,0.87,14,173,1042,71,971,254,15,239,68,0.56,4.86,32.51,37.37,,,,,,,,,,,,,,,
Coats town,85,Harnett,3713360,2463,1743.5,1.41,125,390,1503,283,1220,445,87,358,67,0.72,,,,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,225250,225250,Lillington
Cofield village,91,Hertford,3713460,421,134,3.14,29,68,255,29,226,69,34,35,47,0.9,3.39,0.85,4.24,,,,,,,,,,,,,,,
Coinjock CDP,53,Currituck,3713500,379,451.4,0.84,0,64,262,0,262,53,12,41,,0.42,3.57,71.03,74.6,,,,,,,,,,,,,,,
Colerain town,15,Bertie,3713560,270,1027.1,0.26,5,26,179,24,155,43,0,43,45,0.62,,,,,,,,,,,,,,,,,,
Columbia town,177,Tyrrell,3713940,678,558.1,1.21,127,53,275,117,158,223,49,174,61,0.79,0,100,100,,,,,,,,,,,,,,,
Columbus town,149,Polk,3713980,1240,330.1,3.76,161,129,591,112,479,342,49,293,56,0.56,0,0.73,0.73,,,,,,,,,,,,,,,
Como town,91,Hertford,3714060,114,36.2,3.15,0,14,81,20,61,19,2,17,46,0.95,0,0.18,0.18,,,,,,,,,,,,,,,
Concord city,25,Cabarrus,3714100,94147,1483.1,63.48,2920,20891,58078,5399,52679,10946,959,9987,84,0.39,1.2,9.56,10.77,,,,,,,,,,,,,,,
Conetoe town,65,Edgecombe,3714200,599,1665.9,0.36,218,35,298,192,106,48,7,41,52,0.65,12.27,34.64,46.92,,,,,,,,,,,,,,,
Connelly Springs town,23,Burke,3714280,2272,455.3,4.99,64,301,1493,185,1308,375,73,302,56,0.73,0,3.54,3.54,19,Bethel Park Stream Restoration Phase 1,"Bethel Park is a highly utilized recreational park located at the convergence of East Prong Hunting Creek and Fiddlers Run in the City of Morganton. The park currently experiences frequent flooding during heavy rainfall events resulting in standing water and sediment deposition around the athletic field and on the majority of the walking trail encompassing the outer park boundary. Area residents also report flooding impacting their property. The city had a detailed assessment of the watershed conducted, including hydrologic and hydraulic modeling to determine necessary improvements. The overall proposed project involves two phases. Golden LEAF flood mitigation grant funds will be used to support implementation of Phase I which includes stream restoration for East Prong Hunting Creek including excavating a lower floodplain at the elevation of the existing incised stream channel, excavating floodplain benches along the new stream alignment to provide increased flow capacity, establishing a riparian buffer along the banks of East Prong Hunting Creek, constructing bioretention swales to direct overbank stormwater flows into the streams, replacing an existing bridge once the stream is widened, redesigning an existing culvert to improve flow, relocating an existing dog park away from the stream to reduce the pollutant load to downstream receiving waters, and elevating recreational areas such as the athletic field and walking track to mitigate flood impacts on the most used open areas. Additional funding for Phase 1 was awarded by the North Carolina Land and Water Fund Grant in 2021 as well as match funding from the City. There are households located in the immediate project area that will benefit from completion of this project. ",City of Morganton,Local Government,Infrastructure,5/31/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Morganton
Conover city,35,Catawba,3714340,8488,759.8,11.17,403,1871,4589,543,4046,1520,100,1420,8,0.66,0.42,5.26,5.68,,,,,,,,,,,,,,,
Conway town,131,Northampton,3714400,671,367.9,1.82,108,121,342,107,235,93,5,88,54,0.69,1.21,3.4,4.61,,,,,,,,,,,,,,,
Cooleemee town,59,Davie,3714460,1028,1366.4,0.75,111,148,624,134,490,145,10,135,57,0.72,0,9.76,9.76,,,,,,,,,,,,,,,
Cordova CDP,153,Richmond,3714600,1323,620.9,2.13,0,70,1077,121,956,176,154,22,,0.64,0,3.19,3.19,,,,,,,,,,,,,,,
Cornelius town,119,Mecklenburg,3714700,29836,2361.2,12.64,506,6289,18016,1285,16731,5013,302,4711,83,0.09,0.02,6.7,6.72,,,,,,,,,,,,,,,
Cove City town,49,Craven,3715020,607,951.9,0.64,46,86,299,22,277,172,5,167,55,0.83,,,,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,River Bend
Cove City town,49,Craven,3715020,607,951.9,0.64,46,86,299,22,277,172,5,167,55,0.83,,,,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,249760,249760,New Bern
Cove Creek CDP,189,Watauga,3715040,1087,127.3,8.54,91,90,530,71,459,376,23,353,,0.46,0.17,2.82,2.99,,,,,,,,,,,,,,,
Cramerton town,71,Gaston,3715260,4417,1145.2,3.86,22,902,2889,94,2795,578,44,534,85,0.3,1.23,17.65,18.89,,,,,,,,,,,,,,,
Creedmoor city,77,Granville,3715320,4539,849.1,5.35,227,1034,2792,410,2382,467,49,418,75,0.28,0,11.86,11.86,10,Oxford Stormwater Master Plan,"The City of Oxford experiences flooding throughout the city during heavy, unnamed, non-tropical rain events. During these flooding events, public works staff cannot access critical infrastructure at the wastewater treatment plant. The city has begun to prioritize stormwater management over the past few years including stormwater mitigation efforts along Goshen Street. To create a master plan, the applicant is requesting Golden LEAF flood mitigation grant funds to map stormwater infrastructure within the entire jurisdiction and perform modeling along sub-basins west and parallel to College Street and Martin Luther King Jr. Avenue. Additional data collection, modeling of existing watersheds, and the development of concept plans and alternatives will also be completed. The city plans to use the data acquired from this project for future stormwater improvement grant opportunities and to prioritize projects funded by their stormwater utility fund. The entire city will benefit from this project.",City of Oxford,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,125000,125000,Oxford
Creswell town,187,Washington,3715420,161,284.5,0.57,8,12,106,21,85,35,7,28,43,0.79,1.23,20.43,21.66,,,,,,,,,,,,,,,
Cricket CDP,193,Wilkes,3715440,2453,693.6,3.54,245,288,1500,258,1242,393,15,378,56,0.76,0.03,0.35,0.38,,,,,,,,,,,,,,,
Crossnore town,11,Avery,3715580,146,326.1,0.45,0,13,23,0,23,15,0,15,48,0.47,0.84,5.39,6.23,,,,,,,,,,,,,,,
Crouse CDP,109,Lincoln,3715640,143,126,1.14,0,31,112,12,100,0,0,0,,0.59,1.09,8.66,9.74,,,,,,,,,,,,,,,
Cullowhee CDP,99,Jackson,3715880,6798,1785.2,3.81,0,359,2858,1553,1305,80,17,63,74,0.57,3.47,16.16,19.63,,,,,,,,,,,,,,,
Cypress Landing CDP,13,Beaufort,3716084,1383,587.2,2.36,6,161,432,9,423,784,31,753,,0.32,0.87,24.63,25.5,12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,225000,225000,Aurora
Dallas town,71,Gaston,3716180,4744,1614.8,2.94,151,1022,2980,481,2499,575,42,533,7,0.64,1.71,6.5,8.2,,,,,,,,,,,,,,,
Dana CDP,89,Henderson,3716220,3830,430.1,8.9,312,877,1979,221,1758,662,37,625,,0.6,0.1,0.87,0.98,,,,,,,,,,,,,,,
Danbury town,169,Stokes,3716240,211,281.3,0.75,0,25,98,0,98,23,0,23,73,0.36,0,3.9,3.9,,,,,,,,,,,,,,,
Davidson town,"119, 97","Mecklenburg, Iredell",3716400,12920,2052.3,6.3,194,2674,6385,424,5961,1999,54,1945,,0.11,0.04,12.44,12.48,,,,,,,,,,,,,,,
Davis CDP,31,Carteret,3716480,226,103.6,2.18,0,56,82,0,82,88,0,88,,0.23,0,100,100,,,,,,,,,,,,,,,
Deep Run CDP,107,Lenoir,3716720,537,189.2,2.84,0,144,283,18,265,110,0,110,,0.81,0.68,8.82,9.5,11,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Kinston
Deercroft CDP,165,Scotland,3716730,549,425.1,1.29,0,77,346,0,346,126,0,126,,0.77,,,,,,,,,,,,,,,,,,
Delco CDP,47,Columbus,3716780,128,84.9,1.51,0,0,66,0,66,62,10,52,,0.79,0,19.61,19.61,14,Hickman Road Flood Mitigation,The Town of Tabor City reports that the existing drainage ditch running perpendicular to Hickman Road in the southern part of town is prone to frequent flooding during heavy rain events. Streets and residential properties in the area are often left flooded for extended periods of time. Golden LEAF flood mitigation grant funds will be used to install infrastructure to enclose the ditch and improve drainage to eliminate flooding in the area. An exposed water line running along the slope of the ditch will be abandoned and water services will be reconnected to existing water lines located upstream. Households and vehicles traveling on adjacent roads in the immediate project area will benefit from this project.,Town of Tabor City,Local Government,Infrastructure,5/10/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,175000,175000,Tabor City
Dellview town,71,Gaston,3716820,25,221,0.11,0,0,25,0,25,0,0,0,,0.56,,,,,,,,,,,,,,,,,,
Delway CDP,163,Sampson,3716860,30,3.1,9.61,0,0,0,0,0,30,0,30,41,0.85,0,2.23,2.23,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Clinton
Denton town,57,Davidson,3716980,1355,644.4,2.1,54,238,788,124,664,255,46,209,68,0.61,,,,,,,,,,,,,,,,,,
Denver CDP,109,Lincoln,3717000,2964,500.1,5.93,0,609,1807,226,1581,548,39,509,,0.28,0.23,1.99,2.22,,,,,,,,,,,,,,,
Dillsboro town,99,Jackson,3717180,219,458,0.48,5,26,121,11,110,62,8,54,64,0.35,7.31,16.5,23.82,,,,,,,,,,,,,,,
Dobbins Heights town,153,Richmond,3717325,836,947,0.88,65,69,553,176,377,149,16,133,52,0.88,0,0.84,0.84,,,,,,,,,,,,,,,
Dobson town,171,Surry,3717340,1511,744.1,2.03,14,215,780,132,648,287,28,259,77,0.67,0,0.42,0.42,,,,,,,,,,,,,,,
Dortches town,127,Nash,3717520,978,120.9,8.09,18,121,633,57,576,206,14,192,6,0.49,0.16,1.51,1.67,,,,,,,,,,,,,,,
Dover town,49,Craven,3717660,283,294.9,0.96,10,36,148,23,125,89,39,50,51,0.83,,,,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,River Bend
Dover town,49,Craven,3717660,283,294.9,0.96,10,36,148,23,125,89,39,50,51,0.83,,,,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,249760,249760,New Bern
Drexel town,23,Burke,3717860,1725,1248.5,1.38,51,165,1101,117,984,301,23,278,78,0.66,0.18,2.09,2.27,19,Bethel Park Stream Restoration Phase 1,"Bethel Park is a highly utilized recreational park located at the convergence of East Prong Hunting Creek and Fiddlers Run in the City of Morganton. The park currently experiences frequent flooding during heavy rainfall events resulting in standing water and sediment deposition around the athletic field and on the majority of the walking trail encompassing the outer park boundary. Area residents also report flooding impacting their property. The city had a detailed assessment of the watershed conducted, including hydrologic and hydraulic modeling to determine necessary improvements. The overall proposed project involves two phases. Golden LEAF flood mitigation grant funds will be used to support implementation of Phase I which includes stream restoration for East Prong Hunting Creek including excavating a lower floodplain at the elevation of the existing incised stream channel, excavating floodplain benches along the new stream alignment to provide increased flow capacity, establishing a riparian buffer along the banks of East Prong Hunting Creek, constructing bioretention swales to direct overbank stormwater flows into the streams, replacing an existing bridge once the stream is widened, redesigning an existing culvert to improve flow, relocating an existing dog park away from the stream to reduce the pollutant load to downstream receiving waters, and elevating recreational areas such as the athletic field and walking track to mitigate flood impacts on the most used open areas. Additional funding for Phase 1 was awarded by the North Carolina Land and Water Fund Grant in 2021 as well as match funding from the City. There are households located in the immediate project area that will benefit from completion of this project. ",City of Morganton,Local Government,Infrastructure,5/31/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Morganton
Dublin town,17,Bladen,3718040,380,873.2,0.44,8,121,168,10,158,83,11,72,49,0.96,,,,7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.",Town of Elizabethtown,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,132000,132000,Elizabethtown
Duck town,55,Dare,3718060,584,241.8,2.42,0,54,304,38,266,226,5,221,,0.02,30.47,48.7,79.16,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
Dudley CDP,191,Wayne,3718080,1841,667.1,2.76,396,290,954,227,727,201,0,201,,0.9,0.42,1.42,1.85,,,,,,,,,,,,,,,
Dundarrach CDP,93,Hoke,3718300,60,45.6,1.32,0,0,48,0,48,12,0,12,6,0.95,0,8.55,8.55,,,,,,,,,,,,,,,
Dunn city,85,Harnett,3718320,9738,1417.5,6.87,785,1186,5456,1139,4317,2069,249,1820,66,0.85,1.19,5.88,7.07,2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,225250,225250,Lillington
Durham city,63,Durham,3719000,276341,2450,112.79,12197,45636,175648,22854,152794,31977,2591,29386,,0.74,0.34,10.97,11.31,,,,,,,,,,,,,,,
Earl town,45,Cleveland,3719140,330,383.1,0.86,2,27,247,74,173,52,0,52,56,0.64,,,,,,,,,,,,,,,,,,
